Protein,Gene,Descrip,Type,Cond,Cell Line,Expression
Q05443,LUM, Lumican OS=Bos taurus GN=LUM PE=1 SV=1,B,TI_PPHE,Cell Line2,23.446107539376943
Q0VCM5,ITIH1, Inter-alpha-trypsin inhibitor heavy chain H1 OS=Bos taurus GN=ITIH1 PE=1 SV=1,B,TI_PPHE,Cell Line2,24.455444796561878
Q148H6,K1C28," Keratin, type I cytoskeletal 28 OS=Bos taurus GN=KRT28 PE=2 SV=1",B,TI_PPHE,Cell Line2,18.92753703868122
Q148H7,K2C79," Keratin, type II cytoskeletal 79 OS=Bos taurus GN=KRT79 PE=2 SV=1",B,TI_PPHE,Cell Line2,19.074354063623066
Q28065,C4BPA, C4b-binding protein alpha chain OS=Bos taurus GN=C4BPA PE=2 SV=1,B,TI_PPHE,Cell Line2,21.483503063327404
Q28085,CFAH, Complement factor H OS=Bos taurus GN=CFH PE=1 SV=3,B,TI_PPHE,Cell Line2,24.51701681875859
Q28107,FA5, Coagulation factor V OS=Bos taurus GN=F5 PE=1 SV=1,B,TI_PPHE,Cell Line2,19.896520932429294
Q29443,TRFE, Serotransferrin OS=Bos taurus GN=TF PE=2 SV=1,B,TI_PPHE,Cell Line2,31.34802336022048
Q29RQ1,CO7, Complement component C7 OS=Bos taurus GN=C7 PE=2 SV=1,B,TI_PPHE,Cell Line2,23.118377808827827
Q29S21,K2C7," Keratin, type II cytoskeletal 7 OS=Bos taurus GN=KRT7 PE=2 SV=1",B,TI_PPHE,Cell Line2,19.12512059857142
Q2HJ57,COTL1, Coactosin-like protein OS=Bos taurus GN=COTL1 PE=2 SV=3,B,TI_PPHE,Cell Line2,18.406138085530166
Q3ZBU7,TBB4A, Tubulin beta-4A chain OS=Bos taurus GN=TUBB4A PE=2 SV=1,B,TI_PPHE,Cell Line2,18.051823005285023
Q2KIG3,CBPB2, Carboxypeptidase B2 OS=Bos taurus GN=CPB2 PE=1 SV=1,B,TI_PPHE,Cell Line2,20.22726319816771
Q2KIS7,TETN, Tetranectin OS=Bos taurus GN=CLEC3B PE=2 SV=1,B,TI_PPHE,Cell Line2,21.463438879286624
Q2KIT0,HP20, Protein HP-20 homolog OS=Bos taurus PE=2 SV=1,B,TI_PPHE,Cell Line2,21.03675779157587
Q2KIX7,HP251, Protein HP-25 homolog 1 OS=Bos taurus PE=1 SV=1,B,TI_PPHE,Cell Line2,19.258306878474244
Q2KJ63,KLKB1, Plasma kallikrein OS=Bos taurus GN=KLKB1 PE=2 SV=1,B,TI_PPHE,Cell Line2,21.163738342227703
Q2KJF1,A1BG, Alpha-1B-glycoprotein OS=Bos taurus GN=A1BG PE=1 SV=1,B,TI_PPHE,Cell Line2,27.097775498342
Q2UVX4,CO3, Complement C3 OS=Bos taurus GN=C3 PE=1 SV=2,B,TI_PPHE,Cell Line2,28.22314718752345
Q32KY0,APOD, Apolipoprotein D OS=Bos taurus GN=APOD PE=2 SV=1,B,TI_PPHE,Cell Line2,20.863120753585758
Q32PJ2,APOA4, Apolipoprotein A-IV OS=Bos taurus GN=APOA4 PE=2 SV=1,B,TI_PPHE,Cell Line2,19.21811827303584
Q3MHN2,CO9, Complement component C9 OS=Bos taurus GN=C9 PE=2 SV=1,B,TI_PPHE,Cell Line2,22.114662905199545
Q3MHN5,VTDB, Vitamin D-binding protein OS=Bos taurus GN=GC PE=2 SV=1,B,TI_PPHE,Cell Line2,29.025583454946062
Q3SWW8,TSP4, Thrombospondin-4 OS=Bos taurus GN=THBS4 PE=2 SV=1,B,TI_PPHE,Cell Line2,19.96960072619913
Q3SX14,GELS, Gelsolin OS=Bos taurus GN=GSN PE=2 SV=1,B,TI_PPHE,Cell Line2,24.108596788035246
Q3SZ57,FETA, Alpha-fetoprotein OS=Bos taurus GN=AFP PE=2 SV=1,B,TI_PPHE,Cell Line2,29.14245334045899
Q3SZR3,A1AG, Alpha-1-acid glycoprotein OS=Bos taurus GN=ORM1 PE=2 SV=1,B,TI_PPHE,Cell Line2,27.448670742624223
Q3SZV7,HEMO, Hemopexin OS=Bos taurus GN=HPX PE=2 SV=1,B,TI_PPHE,Cell Line2,27.132779895834915
Q3T021,SPAT9, Spermatogenesis-associated protein 9 OS=Bos taurus GN=SPATA9 PE=2 SV=1,B,TI_PPHE,Cell Line2,18.78320277890886
Q3T052,ITIH4, Inter-alpha-trypsin inhibitor heavy chain H4 OS=Bos taurus GN=ITIH4 PE=1 SV=1,B,TI_PPHE,Cell Line2,27.08150347952446
Q3Y5Z3,ADIPO, Adiponectin OS=Bos taurus GN=ADIPOQ PE=1 SV=1,B,TI_PPHE,Cell Line2,24.58182117711735
Q58CQ9,VNN1, Pantetheinase OS=Bos taurus GN=VNN1 PE=1 SV=1,B,TI_PPHE,Cell Line2,23.98548094716934
Q58D62,FETUB, Fetuin-B OS=Bos taurus GN=FETUB PE=1 SV=1,B,TI_PPHE,Cell Line2,28.94697047008513
Q5E9B1,LDHB, L-lactate dehydrogenase B chain OS=Bos taurus GN=LDHB PE=2 SV=4,B,TI_PPHE,Cell Line2,19.76406851642736
Q5E9F5,TAGL2, Transgelin-2 OS=Bos taurus GN=TAGLN2 PE=2 SV=3,B,TI_PPHE,Cell Line2,18.320317817850466
Q5E9F7,COF1, Cofilin-1 OS=Bos taurus GN=CFL1 PE=2 SV=3,B,TI_PPHE,Cell Line2,19.32962323476329
Q5XQN5,K2C5," Keratin, type II cytoskeletal 5 OS=Bos taurus GN=KRT5 PE=1 SV=1",B,TI_PPHE,Cell Line2,21.23556637614013
Q6URK6,CADH5, Cadherin-5 OS=Bos taurus GN=CDH5 PE=2 SV=1,B,TI_PPHE,Cell Line2,19.77562265542756
Q7SIH1,A2MG, Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2,B,TI_PPHE,Cell Line2,30.23664718632422
Q95121,PEDF, Pigment epithelium-derived factor OS=Bos taurus GN=SERPINF1 PE=1 SV=1,B,TI_PPHE,Cell Line2,25.336230937569464
Q95M17,CHIA, Acidic mammalian chitinase OS=Bos taurus GN=CHIA PE=1 SV=1,B,TI_PPHE,Cell Line2,21.57633493616185
Q9BGI3,PRDX2, Peroxiredoxin-2 OS=Bos taurus GN=PRDX2 PE=2 SV=1,B,TI_PPHE,Cell Line2,19.9920604323258
Q9N2I2,IPSP, Plasma serine protease inhibitor OS=Bos taurus GN=SERPINA5 PE=1 SV=1,B,TI_PPHE,Cell Line2,23.00228998519261
Q9TT36,THBG, Thyroxine-binding globulin OS=Bos taurus GN=SERPINA7 PE=2 SV=1,B,TI_PPHE,Cell Line2,23.76396277855806
Q9TTE1,SPA31, Serpin A3-1 OS=Bos taurus GN=SERPINA3-1 PE=1 SV=3,B,TI_PPHE,Cell Line2,28.00894958458277
Q9TTJ5,RGN, Regucalcin OS=Bos taurus GN=RGN PE=2 SV=1,B,TI_PPHE,Cell Line2,19.43587341890487
Q9XSJ4,ENOA, Alpha-enolase OS=Bos taurus GN=ENO1 PE=1 SV=4,B,TI_PPHE,Cell Line2,19.495809256051064
P08670,VIME,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,H,TI_PPHE,Cell Line2,19.830608854409512
P00002,PC,PepCalMix,H,TI_PPHE,Cell Line2,5.119587242150781
P04264,K2C1,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",H,TI_PPHE,Cell Line2,19.78190838898296
P35908,K22E,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",H,TI_PPHE,Cell Line2,18.20889565356013
P13645,K1C10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",H,TI_PPHE,Cell Line2,19.05007382758047
P35527,K1C9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",H,TI_PPHE,Cell Line2,19.032121230008737
P02533,K1C14,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",H,TI_PPHE,Cell Line2,16.184526538595243
P02545,LMNA,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,H,TI_PPHE,Cell Line2,17.253224803894287
P14618,KPYM,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,H,TI_PPHE,Cell Line2,16.913188240092992
P07437,TBB5,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,H,TI_PPHE,Cell Line2,14.792199598126045
P07355,ANXA2,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,H,TI_PPHE,Cell Line2,17.090981576583072
P60709,ACTB,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1",H,TI_PPHE,Cell Line2,19.03168992448495
P68032,ACTC,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",H,TI_PPHE,Cell Line2,12.667723205993155
P13639,EF2,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,H,TI_PPHE,Cell Line2,15.956777627641385
P06733,ENOA,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,H,TI_PPHE,Cell Line2,17.030549245776598
P11021,GRP78,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,H,TI_PPHE,Cell Line2,15.993820604006103
P68363,TBA1B,Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1,H,TI_PPHE,Cell Line2,17.839796104707457
Q13509,TBB3,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,H,TI_PPHE,Cell Line2,13.534281837362638
P04406,G3P,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,H,TI_PPHE,Cell Line2,16.666412004715436
P08758,ANXA5,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,H,TI_PPHE,Cell Line2,17.17401279392674
P00338,LDHA,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,H,TI_PPHE,Cell Line2,17.60478036999199
Q5VTE0,EF1A3,Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1,H,TI_PPHE,Cell Line2,16.9843207012453
P04083,ANXA1,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,H,TI_PPHE,Cell Line2,15.891586302212197
P11142,HSP7C,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,H,TI_PPHE,Cell Line2,17.31495800165256
P68104,EF1A1,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,H,TI_PPHE,Cell Line2,12.73005638491084
P08238,HS90B,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,H,TI_PPHE,Cell Line2,14.967248188116368
P14625,ENPL,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,H,TI_PPHE,Cell Line2,15.46982640821446
P13647,K2C5,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3",H,TI_PPHE,Cell Line2,15.119328466659171
O43707,ACTN4,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,H,TI_PPHE,Cell Line2,14.906537203247526
P21333,FLNA,Isoform 2 of Filamin-A OS=Homo sapiens GN=FLNA,H,TI_PPHE,Cell Line2,14.984223665402231
P60174,TPIS,Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,H,TI_PPHE,Cell Line2,14.67098579074266
P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,H,TI_PPHE,Cell Line2,16.182320399792488
P07900,HS90A,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,H,TI_PPHE,Cell Line2,15.185633500636603
P62805,H4,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,H,TI_PPHE,Cell Line2,18.088766739598583
P04075,ALDOA,Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA,H,TI_PPHE,Cell Line2,14.958973642366136
P63104,1433Z,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,H,TI_PPHE,Cell Line2,14.382671828309045
P27797,CALR,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,H,TI_PPHE,Cell Line2,15.275304751138275
Q8N257,H2B3B,Histone H2B type 3-B OS=Homo sapiens GN=HIST3H2BB PE=1 SV=3,H,TI_PPHE,Cell Line2,17.745823459273648
P09382,LEG1,Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,H,TI_PPHE,Cell Line2,16.82547913506673
P31946,1433B,Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB,H,TI_PPHE,Cell Line2,11.13744426186171
P25705,ATPA,"Isoform 2 of ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1",H,TI_PPHE,Cell Line2,12.293497654774006
P07737,PROF1,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,H,TI_PPHE,Cell Line2,15.851071782592768
P62328,TYB4,Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2,H,TI_PPHE,Cell Line2,15.15888224899959
P07195,LDHB,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,H,TI_PPHE,Cell Line2,14.77219242557506
P10809,CH60,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",H,TI_PPHE,Cell Line2,14.074240098038192
P81605,DCD,Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,H,TI_PPHE,Cell Line2,14.053219764714523
P35579,MYH9,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,H,TI_PPHE,Cell Line2,14.949175009098948
Q96QV6,H2A1A,Histone H2A type 1-A OS=Homo sapiens GN=HIST1H2AA PE=1 SV=3,H,TI_PPHE,Cell Line2,11.335211179629448
Q9NZT1,CALL5,Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2,H,TI_PPHE,Cell Line2,12.011370259182652
P00558,PGK1,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,H,TI_PPHE,Cell Line2,13.614546565278244
P69905,HBA,Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,H,TI_PPHE,Cell Line2,17.15318876236068
Q15149,PLEC,Isoform 4 of Plectin OS=Homo sapiens GN=PLEC,H,TI_PPHE,Cell Line2,13.833485324475632
P30101,PDIA3,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,H,TI_PPHE,Cell Line2,13.209449715351294
O43852,CALU,Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2,H,TI_PPHE,Cell Line2,13.70166715013522
P06576,ATPB,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",H,TI_PPHE,Cell Line2,13.269894915660768
P50990,TCPQ,Isoform 2 of T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8,H,TI_PPHE,Cell Line2,12.577485137205722
P60660,MYL6,Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2,H,TI_PPHE,Cell Line2,13.332762126872218
P32119,PRDX2,Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5,H,TI_PPHE,Cell Line2,11.943261211692338
P40926,MDHM,"Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3",H,TI_PPHE,Cell Line2,13.321621456989364
O60701,UGDH,UDP-glucose 6-dehydrogenase OS=Homo sapiens GN=UGDH PE=1 SV=1,H,TI_PPHE,Cell Line2,13.22394463653036
P31949,S10AB,Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2,H,TI_PPHE,Cell Line2,13.72052312771022
Q09666,AHNK,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,H,TI_PPHE,Cell Line2,12.58122634848743
P05388,RLA0,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,H,TI_PPHE,Cell Line2,14.120227603997956
P07237,PDIA1,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,H,TI_PPHE,Cell Line2,15.117808062301128
P22626,ROA2,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,H,TI_PPHE,Cell Line2,11.995578194926034
Q06830,PRDX1,Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,H,TI_PPHE,Cell Line2,14.397978001572293
P61604,CH10,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2",H,TI_PPHE,Cell Line2,12.609534753771028
P26038,MOES,Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,H,TI_PPHE,Cell Line2,11.442377785080357
P62081,RS7,40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1,H,TI_PPHE,Cell Line2,12.115824302862984
O60814,H2B1K,Histone H2B type 1-K OS=Homo sapiens GN=HIST1H2BK PE=1 SV=3,H,TI_PPHE,Cell Line2,12.185856647278667
P62277,RS13,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,H,TI_PPHE,Cell Line2,14.485726599164764
P0DP23,CALM1,Calmodulin-1 OS=Homo sapiens GN=CALM1 PE=1 SV=1,H,TI_PPHE,Cell Line2,7.838944696044529
P50395,GDIB,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,H,TI_PPHE,Cell Line2,10.86706596383108
P37802,TAGL2,Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3,H,TI_PPHE,Cell Line2,13.223970338413103
P22392,NDKB,Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1,H,TI_PPHE,Cell Line2,14.316169165170592
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,H,TI_PPHE,Cell Line2,14.07804480895326
P05387,RLA2,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,H,TI_PPHE,Cell Line2,14.662029985429998
P17931,LEG3,Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,H,TI_PPHE,Cell Line2,13.6201276120726
P62424,RL7A,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2,H,TI_PPHE,Cell Line2,12.491343896236373
P09601,HMOX1,Heme oxygenase 1 OS=Homo sapiens GN=HMOX1 PE=1 SV=1,H,TI_PPHE,Cell Line2,12.949760188829886
P26641,EF1G,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,H,TI_PPHE,Cell Line2,11.057877763036412
P62851,RS25,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,H,TI_PPHE,Cell Line2,12.767195170425204
Q14103,HNRPD,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1,H,TI_PPHE,Cell Line2,11.99452268485036
P29692,EF1D,Isoform 2 of Elongation factor 1-delta OS=Homo sapiens GN=EEF1D,H,TI_PPHE,Cell Line2,13.832724300910254
Q16658,FSCN1,Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3,H,TI_PPHE,Cell Line2,11.703266648556392
Q07065,CKAP4,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,H,TI_PPHE,Cell Line2,9.347019793552647
P15880,RS2,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,H,TI_PPHE,Cell Line2,12.894338275120482
P23396,RS3,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,H,TI_PPHE,Cell Line2,13.09660394149699
P01023,A2MG,Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3,H,TI_PPHE,Cell Line2,12.345212723959486
P16070,CD44,Isoform 10 of CD44 antigen OS=Homo sapiens GN=CD44,H,TI_PPHE,Cell Line2,10.67723223180094
P06748,NPM,Isoform 2 of Nucleophosmin OS=Homo sapiens GN=NPM1,H,TI_PPHE,Cell Line2,13.241890511438724
P08133,ANXA6,Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3,H,TI_PPHE,Cell Line2,13.545699526333754
Q15084,PDIA6,Isoform 5 of Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6,H,TI_PPHE,Cell Line2,12.33992020427882
P39019,RS19,40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,H,TI_PPHE,Cell Line2,12.978623485493063
P62269,RS18,40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3,H,TI_PPHE,Cell Line2,13.033137036425476
P78371,TCPB,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,H,TI_PPHE,Cell Line2,10.595204991154365
P06702,S10A9,Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1,H,TI_PPHE,Cell Line2,9.203538772243627
Q14974,IMB1,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,H,TI_PPHE,Cell Line2,9.376803641017904
Q9H299,SH3L3,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1,H,TI_PPHE,Cell Line2,14.41350563116767
P27824,CALX,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,H,TI_PPHE,Cell Line2,12.020368300481188
O00571,DDX3X,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,H,TI_PPHE,Cell Line2,10.708043626823192
P05141,ADT2,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,H,TI_PPHE,Cell Line2,11.573100808817344
P19338,NUCL,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,H,TI_PPHE,Cell Line2,14.160157753101029
P16402,H13,Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2,H,TI_PPHE,Cell Line2,14.400970291934746
P49368,TCPG,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,H,TI_PPHE,Cell Line2,12.450921397098131
O60664-3,PLIN3,Isoform 3 of Perilipin-3 OS=Homo sapiens GN=PLIN3,H,TI_PPHE,Cell Line2,10.37905507717766
O60506,HNRPQ,Isoform 2 of Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP,H,TI_PPHE,Cell Line2,11.427026734905256
P15144,AMPN,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4,H,TI_PPHE,Cell Line2,10.936192361620533
P18085,ARF4,ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3,H,TI_PPHE,Cell Line2,12.16906691875649
P30041,PRDX6,Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,H,TI_PPHE,Cell Line2,11.57879593639494
P61353,RL27,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,H,TI_PPHE,Cell Line2,7.032289695060211
Q02878,RL6,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,H,TI_PPHE,Cell Line2,11.06455394834342
Q5D862,FILA2,Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1,H,TI_PPHE,Cell Line2,11.503780524039172
P07858,CATB,Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3,H,TI_PPHE,Cell Line2,6.637408988435528
P60866,RS20,Isoform 2 of 40S ribosomal protein S20 OS=Homo sapiens GN=RPS20,H,TI_PPHE,Cell Line2,12.417630481892036
Q00610,CLH1,Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC,H,TI_PPHE,Cell Line2,12.258120542772405
P05109,S10A8,Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1,H,TI_PPHE,Cell Line2,10.757833910904008
Q00839,HNRPU,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,H,TI_PPHE,Cell Line2,11.15253061929315
O15511-2,ARPC5,Isoform 2 of Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5,H,TI_PPHE,Cell Line2,8.746300635668884
Q16695,H31T,Histone H3.1t OS=Homo sapiens GN=HIST3H3 PE=1 SV=3,H,TI_PPHE,Cell Line2,9.396501519340683
Q9P2E9-2,RRBP1,Isoform 1 of Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1,H,TI_PPHE,Cell Line2,8.45656456135047
P62826,RAN,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,H,TI_PPHE,Cell Line2,10.89432643344472
P07339,CATD,Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1,H,TI_PPHE,Cell Line2,9.391732414491347
P62701,RS4X,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2",H,TI_PPHE,Cell Line2,12.58718972988366
P61163,ACTZ,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,H,TI_PPHE,Cell Line2,6.178489948073192
P02655,APOC2,Apolipoprotein C-II OS=Homo sapiens GN=APOC2 PE=1 SV=1,H,TI_PPHE,Cell Line2,13.077834684013387
P46781,RS9,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3,H,TI_PPHE,Cell Line2,13.53634831080851
P51149,RAB7A,Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1,H,TI_PPHE,Cell Line2,11.29307398992076
Q99584,S10AD,Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1,H,TI_PPHE,Cell Line2,9.466791611924954
P46940,IQGA1,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,H,TI_PPHE,Cell Line2,10.337370523327316
Q96AY3,FKB10,Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1,H,TI_PPHE,Cell Line2,11.728050873600024
P06396-2,GELS,Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN,H,TI_PPHE,Cell Line2,6.71316836762542
Q16881,TRXR1,"Isoform 3 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1",H,TI_PPHE,Cell Line2,7.262577632072569
O75874,IDHC,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,H,TI_PPHE,Cell Line2,10.494483839513792
P04632,CPNS1,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,H,TI_PPHE,Cell Line2,9.526764159843284
P63244,RACK1,Receptor of activated protein C kinase 1 OS=Homo sapiens GN=RACK1 PE=1 SV=3,H,TI_PPHE,Cell Line2,14.203349362306312
P55072,TERA,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,H,TI_PPHE,Cell Line2,7.736654536998708
P61981,1433G,14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,H,TI_PPHE,Cell Line2,15.05474607277419
P62847,RS24,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,H,TI_PPHE,Cell Line2,9.898445507531465
